Company,Time,Financial Distress,CLASS,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83
18,6,-1.3992,1,0.88193,-0.054682,0.80263,0.68124,0.024511,-0.08441,0.57063,-0.080268,-0.27706,-0.045339,0.63051,0.27242,0.19737,4.0667,12.943,0.03598,3.0775,0.046172,0.13208,0.064583,1.0805,2.2124,0.13549,0.71492,-442.83,11.484,-8.0706,0.043734,0.087714,0.40795,3.0536,0.59884,0.89072,3.5599,27.814,-0.086727,0.44442,0.067776,-0.029893,0.30791,3.4517,-1.9082,0.64098,-0.17759,-0.42769,-0.068128,4.1631,1598.3,3.6223,0.86451,11.1,0.089769,0.092303,337.77,-1.0,0.19137,-0.083803,0.0,0.0,0.0,6.7298,11.801,-0.1823,5.8267,2.6566,27.729,10.5,9357.4,-10.689,18.4,1.3677,2.0,29.0,66.262,52.74,49.206,15.5,12.0,-6.4,12,-0.36717,10,32
19,3,-1.7971,1,0.87458,-0.00029219,0.94364,0.73338,-0.066203,-0.11734,0.50443,-0.00039842,-0.005184,-0.012058,0.81829,-1.1239,0.056364,16.742,3.7368,-0.090271,2.3594,0.062018,0.080316,0.066285,0.89624,5.1389,-0.064021,0.93563,-4.575,14.041,-6.2499,0.80045,0.0080089,0.47196,1.3584,0.64354,0.99151,2.2174,96.34,-0.00035708,0.14209,0.084565,-0.12472,0.14271,13.011,-1.0097,0.39495,-0.0020474,-2.0819,-0.00030964,17.713,882.52,16.6,1.064,13.731,-0.076011,-0.046952,1954.5,-1.0,0.33074,0.18754,-0.011974,-0.016328,0.0,3.6373,7.0213,1.1538,9.8951,6.4467,30.245,10.3,8747.0,11.946,15.2,20.7,0.0,35.0,120.87,36.07,35.273,17.0,15.0,-0.2,26,-0.1888,10,37
23,14,-3.9594,1,0.85349,-0.052214,0.96471,0.27762,-0.14137,-0.13648,0.67854,-0.18808,-1.4796,-0.025002,0.79505,-0.91102,0.035288,27.338,0.46252,-0.50922,1.5249,0.0014869,0.55895,0.0015961,0.34919,4.4116,0.18118,0.93154,-1006.7,13.268,-2.0341,-0.27986,0.033176,0.63208,3.6744,2.2768,0.96561,1.8623,778.34,-0.065674,0.94013,0.0053557,-0.62971,0.06293,7.8672,-414.71,0.56076,-0.82972,-3.8676,-0.054124,28.31,680.37,26.398,0.81882,11.987,-0.48459,0.0503,1264.4,-1.0,0.14907,-0.59779,-0.061734,-0.22237,0.0,-1.5863,-7.5046,12.145,-20.229,28.286,30.023,11.0,34501.0,-32.209,11.9,13.871,1.0,29.0,91.7,227.5,214.5,21.0,20.5,8.6,25,-0.48203,27,47
27,2,-0.7038,1,1.1048,-0.022162,0.79523,0.81574,-0.0050317,0.070319,0.30005,-0.027168,-0.10823,-0.017368,0.74133,-0.097772,0.20477,3.8835,6.4278,-0.0061682,1.4441,0.030283,0.063088,0.04513,1.1004,3.2894,0.054171,0.67101,-143.0,11.48,11.6,0.16872,0.12422,0.20134,14.416,0.24682,0.84379,1.5268,56.006,-0.029895,0.60664,0.037123,-0.1733,0.24799,3.9837,-1.3884,0.82572,-0.089368,0.34341,-0.027869,3.9161,1321.3,3.2769,0.94583,11.277,0.025661,0.04419,103.21,-1.0,0.53428,0.023755,-0.0039365,-0.0048257,0.0,7.4166,7.105,14.321,18.77,124.76,26.124,11.8,8322.8,0.1896,15.6,24.579,0.0,36.0,107.09,31.31,30.194,17.0,16.0,0.4,18,-0.11207,10,40
28,14,-0.68154,1,1.0252,-0.054008,0.92048,0.40157,-0.0099127,0.022042,0.89995,-0.13449,-0.67919,0.045003,0.89604,-0.36047,0.079518,11.576,0.6402,-0.024685,3.4892,0.0054464,0.06848,0.0062315,0.44816,4.075,0.12494,0.874,-1731.7,16.079,18.219,0.0065325,0.046479,0.78656,1.1159,1.9587,0.94951,3.9874,562.32,-0.060274,0.58451,0.013563,-0.14731,0.098544,5.05,-2.689,0.80693,-0.54806,0.27719,-0.058674,11.586,2549.6,10.991,0.87506,15.167,-0.011797,0.050174,5765.3,-1.0,0.10071,0.052562,-0.0044196,-0.011006,0.0,-1.5863,-7.5046,12.145,-20.229,28.286,30.023,11.0,34501.0,-32.209,11.9,13.871,1.0,29.0,91.7,227.5,214.5,21.0,20.5,8.6,25,1.443,17,27
29,14,-1.1315,1,0.43265,-0.10664,0.87929,0.40719,-0.074385,-0.46105,0.25374,-0.26189,-0.88344,-0.11163,0.35158,-2.0565,0.12071,7.2843,3.0826,-0.18268,3.6967,0.02069,0.088829,0.02546,1.1582,0.69866,-0.13344,0.81263,-470.93,14.839,-0.88318,0.11051,0.066657,0.2062,1.1953,0.5064,0.92419,3.2615,116.78,-0.30331,0.55221,0.050811,-0.43906,0.58282,3.3733,-1.8968,0.20711,-0.18297,-3.8195,-0.12128,8.0875,533.07,6.7321,1.1334,13.94,-0.14392,-0.054336,853.05,-1.0,0.12485,0.52208,-0.072843,-0.17889,0.0,-1.5863,-7.5046,12.145,-20.229,28.286,30.023,11.0,34501.0,-32.209,11.9,13.871,1.0,29.0,91.7,227.5,214.5,21.0,20.5,8.6,25,-0.49295,20,50
32,13,-2.4586,1,1.2172,-0.05143,0.73542,1.0898,-0.052183,0.14654,0.56567,-0.047192,-0.19439,0.074075,0.82123,-41794.0,0.26458,2.7796,6.2125,-0.047882,2.809,0.080071,0.0,0.11868,1.327,6.6186,-0.073745,0.6747,-823.82,13.594,7.4371,0.00083474,0.060728,0.38166,7.4209,0.3502,0.91742,2.6161,57.948,-0.062625,0.22953,0.073472,-0.23216,0.16466,4.1191,-1.1417,1.6068,-0.31234,0.55386,-0.069932,2.8551,4238.0,2.5501,1.0737,13.68,-0.042815,-0.080368,2762.2,-1.0,0.41658,1.3164,-0.0026695,-0.0024495,0.0,3.2148,1.5719,7.1562,-4.5408,-20.861,22.334,10.6,32801.0,-58.122,15.6,22.571,2.0,30.0,92.9,203.2,204.5,22.0,22.0,6.4,25,1.1866,19,42
35,9,-2.7185,1,1.0025,0.29054,0.83699,0.39385,-0.072158,0.0014364,0.57889,0.73768,1.7823,0.0058201,0.58091,-0.61748,0.16301,5.1346,1.6029,-0.18321,3.8292,0.021881,0.29671,0.03776,0.67799,1.3045,-0.06389,0.57948,2033.2,12.907,274.19,-0.20188,0.25751,0.33545,1.8529,0.85173,0.69233,3.5993,224.59,0.50014,1.5797,0.055557,-0.1477,0.30191,2.4161,5.7502,0.53993,0.96233,0.0088118,0.34712,5.1453,1140.7,3.5549,1.0639,11.975,-0.1337,-0.025163,458.83,1.0,0.10943,-0.061147,-0.21617,-0.54887,0.0,5.7265,8.4799,7.4959,2.3437,85.814,25.17,13.5,10601.0,38.855,12.4,10.131,4.0,27.0,93.883,82.3,74.497,16.5,13.0,0.6,21,0.040729,34,43
36,9,-0.70187,1,1.3824,-0.020667,0.73623,0.74148,0.018734,0.16909,0.68251,-0.027873,-0.078351,-0.15802,0.61123,0.39145,0.26377,2.7911,2.9436,0.025266,2.5203,0.0058991,0.064546,0.013342,1.2131,2.6258,0.061521,0.44215,-50.901,11.908,4.3852,0.039123,0.29408,0.30177,11.538,0.40698,0.60056,2.6855,122.3,-0.033812,1.1149,0.0079558,-0.060961,0.28238,2.811,-12.04,0.93411,-0.073188,0.64103,-0.028071,3.2033,649.66,1.6762,0.93848,11.609,0.049915,0.045617,500.49,-1.0,0.2761,0.070129,0.0,0.0,0.0,5.7265,8.4799,7.4959,2.3437,85.814,25.17,13.5,10601.0,38.855,12.4,10.131,4.0,27.0,93.883,82.3,74.497,16.5,13.0,0.6,21,-0.3892,34,53
37,10,-1.6116,1,2.5101,-0.059647,0.66612,0.60484,-0.0038004,0.56581,0.73514,-0.098616,-0.17865,-0.10854,0.9405,-0.04563,0.33388,1.9951,2.881,-0.0062833,0.78157,0.043844,0.1377,0.11701,0.64311,10.987,0.17693,0.37469,-185.2,10.749,1.069,0.10522,0.29143,0.27545,16.826,0.45541,0.5625,0.94957,124.96,-0.06342,0.87286,0.072488,-0.058206,0.055052,1.8116,-0.88723,6.0647,-1.0835,1.6947,-0.089544,2.022,1036.7,1.1223,0.82307,10.246,0.012531,0.10701,273.5,-0.30729,0.63696,-0.37448,0.0,0.0,0.0,3.0621,3.9554,-0.53449,-9.302,11.207,20.132,12.3,13568.0,14.529,21.5,33.768,2.0,22.0,100.0,100.0,100.0,17.125,14.5,-7.0,22,-0.337,19,47
41,9,-0.58186,1,1.2083,0.057129,0.78921,0.90486,0.10545,0.15183,0.81243,0.063136,0.27103,0.061276,0.88055,2.0774,0.21079,3.7441,10.076,0.11654,3.9673,0.023455,0.056097,0.032186,1.0276,9.2114,0.14913,0.72872,518.7,14.412,5.9598,0.11703,0.060488,0.59203,3.1449,0.65428,0.92336,4.6626,35.727,0.064879,0.28696,0.025921,0.044708,0.098233,4.2927,-0.14332,2.1458,0.58157,0.72028,0.072388,3.7647,1913.9,3.4571,0.85087,14.312,0.12827,0.13494,2456.1,-0.077189,0.19407,0.0062389,-0.032354,-0.035755,0.030195,5.7265,8.4799,7.4959,2.3437,85.814,25.17,13.5,10601.0,38.855,12.4,10.131,4.0,27.0,93.883,82.3,74.497,16.5,13.0,0.6,25,0.55636,15,39
42,1,-1.4153,1,1.105,0.06253,0.85958,0.76085,0.070072,0.080725,0.6452,0.082185,0.4453,0.0071998,0.84947,1.0355,0.14042,6.1213,2.5159,0.092098,2.095,0.010186,0.088942,0.01325,0.89567,7.9421,0.20666,0.76874,590.82,12.535,9.4251,0.38724,0.090833,0.49599,5.0625,0.65189,0.89433,2.6407,143.09,0.073611,0.64685,0.013388,0.11271,0.095799,5.4182,0.50104,1.4658,0.65272,0.57487,0.072745,6.1213,1326.8,5.4744,0.79334,12.261,0.10496,0.15724,158.79,0.20033,0.28812,-0.21845,-0.018082,-0.023766,0.21855,7.1241,15.381,3.2702,17.872,34.692,30.087,12.8,7991.4,364.95,15.8,61.476,4.0,36.0,85.437,27.07,26.102,16.0,16.0,0.2,25,0.068027,7,47
44,9,-2.9702,1,0.92375,0.0019384,0.89374,0.80797,0.1091,-0.066135,0.25635,0.002399,0.018242,0.0025845,0.80124,0.98929,0.10626,8.411,3.8135,0.13503,1.3267,0.0089995,0.13649,0.010376,1.0084,4.8601,0.20541,0.86738,20.29,11.593,-12.217,0.0044037,0.026362,0.22235,7.8806,0.27519,0.9705,1.6697,94.402,0.0024192,0.24809,0.011138,0.023825,0.16625,7.6038,-0.53846,0.63916,0.01166,-0.62239,0.0021688,8.7881,1112.3,8.1629,0.79459,11.38,0.16104,0.16597,530.52,-0.36842,0.48391,-0.1021,0.0,0.0,0.0,5.7265,8.4799,7.4959,2.3437,85.814,25.17,13.5,10601.0,38.855,12.4,10.131,4.0,27.0,93.883,82.3,74.497,16.5,13.0,0.6,12,0.027053,17,35
46,13,-2.0572,1,1.0805,-0.013083,0.78291,0.70431,-0.091531,0.055582,0.34262,-0.018575,-0.060263,-0.0064694,0.74581,-1.417,0.21709,3.6063,3.382,-0.12996,1.4263,0.0089468,0.091717,0.012962,0.94435,4.2992,0.051384,0.69023,-68.575,13.683,12.671,0.011082,0.092675,0.23649,7.1457,0.33578,0.88163,1.5035,106.45,-0.017541,0.42689,0.012703,-0.081412,0.16382,3.2442,-1.123,1.3252,-0.079859,0.25603,-0.01671,3.6668,1137.9,3.1794,0.94862,13.332,-0.090954,0.03619,916.24,-1.0,0.46843,-0.10501,0.00080867,0.0011482,0.0,3.2148,1.5719,7.1562,-4.5408,-20.861,22.334,10.6,32801.0,-58.122,15.6,22.571,2.0,30.0,92.9,203.2,204.5,22.0,22.0,6.4,20,-0.03391,26,58
53,14,-2.7519,1,0.94521,-0.026955,0.93786,0.5596,0.12695,-0.050331,0.83517,-0.048168,-0.43378,-0.010336,0.86821,0.7993,0.06214,15.093,0.79374,0.22685,4.9529,0.0011614,0.28381,0.0012644,0.64455,1177.5,0.29116,0.91854,-409.11,14.293,-11.118,0.20826,0.01932,0.76714,6.8641,1.3709,0.9794,6.9873,453.55,-0.031047,0.3109,0.0020754,-0.061798,0.00047523,9.0055,-1.3084,130.76,-56.719,-0.80995,-0.028741,1510000.0,943.13,14.782,0.70884,13.712,0.24446,0.16293,3537.2,-1.0,0.080088,-0.99649,-0.0040767,-0.007285,0.0,-1.5863,-7.5046,12.145,-20.229,28.286,30.023,11.0,34501.0,-32.209,11.9,13.871,1.0,29.0,91.7,227.5,214.5,21.0,20.5,8.6,29,-0.15687,21,33
60,14,-1.2361,1,0.9874,0.0044674,0.7203,1.271,0.060967,-0.0086355,0.51859,0.0035149,0.015972,0.031853,0.67645,1.0107,0.2797,2.5752,4.042,0.047969,4.0117,0.0040958,0.047459,0.0059785,1.8789,365.88,0.1188,0.68509,19.033,13.145,-147.18,-0.03278,0.035209,0.35528,16.231,0.27953,0.95112,4.5526,89.065,0.0066042,0.12588,0.0032225,-0.10467,0.0034738,4.544,-0.8102,80.519,1.286,-0.030874,0.0062022,167.85,1191.7,2.4493,0.8812,13.384,0.080555,0.151,3692.1,-0.68096,0.27918,-0.98839,-0.030055,-0.023647,0.045948,-1.5863,-7.5046,12.145,-20.229,28.286,30.023,11.0,34501.0,-32.209,11.9,13.871,1.0,29.0,91.7,227.5,214.5,21.0,20.5,8.6,25,0.13571,17,32
63,2,-0.71745,1,1.0697,0.05719,0.76717,1.2,0.091645,0.049534,0.62522,0.047657,0.24563,0.055528,0.76019,2.0702,0.23283,3.295,4.1185,0.076369,3.5119,0.075021,0.03689,0.10556,1.5786,10.798,0.16052,0.71066,538.08,13.521,24.226,0.25196,0.056512,0.44432,4.8702,0.37026,0.92634,4.1834,87.411,0.075231,0.24272,0.062516,0.22237,0.11114,5.1541,-0.075916,2.095,0.51458,0.21275,0.074546,3.3343,2190.6,3.0523,0.83948,13.704,0.082331,0.19263,522.94,-0.039455,0.28685,0.15715,-0.021639,-0.018032,0.15895,7.4166,7.105,14.321,18.77,124.76,26.124,11.8,8322.8,0.1896,15.6,24.579,0.0,36.0,107.09,31.31,30.194,17.0,16.0,0.4,26,0.52245,28,50
67,11,-0.77361,1,0.47922,-0.10935,0.8821,0.43337,-0.076675,-0.4285,0.37016,-0.25231,-0.92744,-0.055718,0.39431,-0.97866,0.1179,7.4816,4.1208,-0.17692,6.6114,0.027478,0.18078,0.033396,1.0991,5.2765,-0.071228,0.8228,-692.79,18.004,-1.0114,0.026207,0.059297,0.30457,2.3896,0.70279,0.93278,6.1718,87.361,-0.27731,0.50293,0.063406,-0.47351,0.082134,3.6757,-2.3801,1.4355,-1.3313,-3.6343,-0.12396,7.4816,746.99,6.9787,1.0712,17.167,-0.15962,-0.030869,2691.4,-1.0,0.070218,0.10319,-0.0011154,-0.0025738,0.0,-7.714,-11.824,-25.736,-21.411,46.844,30.046,12.2,26059.0,3.8523,30.5,-10.665,0.0,28.0,91.5,130.5,132.4,20.0,14.5,-16.0,9,-0.35301,18,47
68,12,-1.2347,1,1.058,-0.018372,0.92351,1.7247,0.056532,0.042165,0.77205,-0.010653,-0.24021,-0.058002,0.76903,0.67484,0.076485,12.074,3.6138,0.032779,10.1,0.052963,0.048572,0.072865,2.2426,10.602,0.063673,0.72687,-150.27,13.615,40.902,-0.11301,0.19665,0.56118,7.951,0.32539,0.78706,10.787,99.619,-0.02389,2.5711,0.030709,0.1152,0.16268,22.549,-6.1489,0.47016,-0.11294,0.55129,-0.019894,18.252,625.59,9.5034,0.93633,14.16,0.055738,0.10981,1104.7,-0.75457,0.15988,0.33937,-0.0044209,-0.0025634,0.0,-0.32511,-0.71099,-3.0659,-17.899,107.71,38.823,10.4,31839.0,-25.841,34.7,36.03,2.0,32.0,87.1,175.9,178.1,20.0,14.5,-20.2,9,-0.47441,13,23
69,8,-1.7389,1,0.85505,0.0011324,0.94315,0.61277,0.088982,-0.11972,0.67314,0.0018479,0.019918,-0.0025897,0.70621,0.64756,0.056853,16.589,1.471,0.14521,4.3951,0.075749,0.22424,0.091713,0.86769,25.87,0.20914,0.82593,21.05,16.227,-5.1186,-0.050221,0.11722,0.55596,3.6763,0.90729,0.87571,5.5573,244.74,0.0016034,2.0619,0.12362,0.19843,0.023686,10.778,-0.88705,2.4002,0.047807,-2.1057,0.0012006,16.589,1056.9,14.527,0.79086,15.738,0.15113,0.12816,4041.8,-0.79702,0.11026,0.20698,-0.0051256,-0.0083646,0.0,0.0054619,-2.5748,-0.39328,-1.6532,57.368,23.905,11.9,9979.2,51.714,10.8,-1.7109,2.0,28.0,84.66,73.2,63.88,16.0,12.0,1.2,9,-0.048142,16,45
71,1,-0.76762,1,1.1453,-0.0064774,0.90926,1.1376,-0.0035294,0.11921,0.38557,-0.0056938,-0.071387,-0.00040568,0.9399,-0.19177,0.090737,10.021,4.4321,-0.0031025,2.3033,0.0073537,0.016178,0.0089604,1.2104,23.008,0.031595,0.82069,-79.833,11.211,9.5427,0.30762,0.088574,0.31643,14.557,0.27816,0.90259,2.3785,81.225,-0.0068916,0.97617,0.0064641,0.32371,0.049445,12.538,-1.1639,1.8351,-0.131,1.3138,-0.0071238,10.021,1118.3,9.0447,0.9684,11.34,0.0034591,0.035944,192.51,-1.0,0.4783,0.32205,0.00039216,0.00034472,0.0,7.1241,15.381,3.2702,17.872,34.692,30.087,12.8,7991.4,364.95,15.8,61.476,4.0,36.0,85.437,27.07,26.102,16.0,16.0,0.2,12,-0.005,9,39
81,13,-0.796,1,1.3799,-0.10421,0.60369,0.25075,-0.084244,0.21307,0.55143,-0.41558,-0.26294,-0.20403,0.77397,-0.87641,0.39631,1.5233,3.2621,-0.33597,1.0328,0.031178,0.38335,0.055586,0.32397,1.4881,-0.091137,0.5609,-190.94,12.342,1.1768,-0.089052,0.042788,0.3093,3.7353,1.2335,0.92912,0.94658,110.36,-0.13464,0.10797,0.12434,-0.21776,0.1685,0.6327,-0.89195,2.352,-0.61844,0.53763,-0.17262,1.5233,726.16,1.4153,1.0911,10.958,-0.28222,-0.022852,604.53,-0.30843,0.2649,-0.059603,-0.0060078,-0.02396,0.0,3.2148,1.5719,7.1562,-4.5408,-20.861,22.334,10.6,32801.0,-58.122,15.6,22.571,2.0,30.0,92.9,203.2,204.5,22.0,22.0,6.4,26,-0.37384,22,33
